система,id/код,артикул,текущее_название,предлагаемое,тип
KeyCRM,111,,Аплікаціі 3D . AM26471.701.01,Аплікаціі 3D. AM26471.701.01,пробел перед знаком
KeyCRM,1132,,Гипюр  EL2201_(1),Гипюр EL2201_(1),двойной пробел
KeyCRM,1131,,Гипюр  EL2202_(1),Гипюр EL2202_(1),двойной пробел
KeyCRM,1128,,Гипюр  HM1383_(1),Гипюр HM1383_(1),двойной пробел
KeyCRM,1127,,Гипюр  GX1784_(1),Гипюр GX1784_(1),двойной пробел
KeyCRM,2447,,Воск Karolin  G00022  ( 3m),Воск Karolin G00022 ( 3m),двойной пробел
KeyCRM,2439,,Глітер  2698,Глітер 2698,двойной пробел
KeyCRM,2870,,Шантилье RJ11110..002.11_(1),Шантилье RJ11110.002.11_(1),двойная точка
KeyCRM,863,,Гипюр  2119_(1),Гипюр 2119_(1),двойной пробел
KeyCRM,2525,,Гліттер  2695,Гліттер 2695,двойной пробел
KeyCRM,2524,,Гліттер  2757,Гліттер 2757,двойной пробел
KeyCRM,2523,,Гліттер  2760,Гліттер 2760,двойной пробел
KeyCRM,2522,,Гліттер  2496,Гліттер 2496,двойной пробел
KeyCRM,2521,,Гліттер  2611,Гліттер 2611,двойной пробел
KeyCRM,2519,,Глітер  2734,Глітер 2734,двойной пробел
KeyCRM,1174,,Гипюр  EL1901-S_(1),Гипюр EL1901-S_(1),двойной пробел
KeyCRM,1173,,Гипюр  EL1908-S_(1),Гипюр EL1908-S_(1),двойной пробел
KeyCRM,1172,,Гипюр  EL1902-S_(1),Гипюр EL1902-S_(1),двойной пробел
KeyCRM,1171,,Гипюр  EL1909-S_(1),Гипюр EL1909-S_(1),двойной пробел
KeyCRM,1170,,Гипюр  EL1907-S_(1),Гипюр EL1907-S_(1),двойной пробел
KeyCRM,1169,,Гипюр  EL1905-S_(1),Гипюр EL1905-S_(1),двойной пробел
KeyCRM,1168,,Гипюр  EL1906-S_(1),Гипюр EL1906-S_(1),двойной пробел
KeyCRM,1214,,Гипюр  H502-4_(1),Гипюр H502-4_(1),двойной пробел
KeyCRM,1392,,Гипюр  2235_ори_(1),Гипюр 2235_ори_(1),двойной пробел
1C,3869,388168, Хрусталики Randele,Хрусталики Randele,пробел по краям
1C,3424,381176,Аплікація 3D . AM26471.701.01,Аплікація 3D. AM26471.701.01,пробел перед знаком
1C,3614,382029,Атлас прокатний  TKK-88,Атлас прокатний TKK-88,двойной пробел
1C,2478,328027,Атлас прокатний FS019 ,Атлас прокатний FS019,пробел по краям
1C,3604,10997(FS036)-01-l.IV-776,Атлас стрейч  SPOSA (10997)-FS036,Атлас стрейч SPOSA (10997)-FS036,двойной пробел
1C,3696,384252,Атлас стрейч Gizia Asaten Lucra ,Атлас стрейч Gizia Asaten Lucra,пробел по краям
1C,3641,382784,Білі гачкі ,Білі гачкі,пробел по краям
1C,3676,384658,Браслет магніт ,Браслет магніт,пробел по краям
1C,3544,379081,Вишите мереживо  AW 740,Вишите мереживо AW 740,двойной пробел
1C,3552,379548,Вишите мереживо  AW 758,Вишите мереживо AW 758,двойной пробел
1C,3556,379623,Вишите мереживо  AW 778,Вишите мереживо AW 778,двойной пробел
1C,3534,378855,Вишите мереживо  GEV-4,Вишите мереживо GEV-4,двойной пробел
1C,3580,381046,Вишите мереживо  GEV-6,Вишите мереживо GEV-6,двойной пробел
1C,3601,381756,Вишите мереживо D801610  (T-135) забите,Вишите мереживо D801610 (T-135) забите,двойной пробел
1C,2785,342474,Гіпюр  2119,Гіпюр 2119,двойной пробел
1C,2929,351452,Гіпюр  2235_ори,Гіпюр 2235_ори,двойной пробел
1C,3067,347752,Гіпюр  EL1905-S,Гіпюр EL1905-S,двойной пробел
1C,3066,347738,Гіпюр  EL1906-S,Гіпюр EL1906-S,двойной пробел
1C,3068,347776,Гіпюр  EL1907-S,Гіпюр EL1907-S,двойной пробел
1C,3071,347837,Гіпюр  EL1908-S,Гіпюр EL1908-S,двойной пробел
1C,3069,347790,Гіпюр  EL1909-S,Гіпюр EL1909-S,двойной пробел
1C,3272,347202,Гіпюр  EL2201,Гіпюр EL2201,двойной пробел
1C,3271,347196,Гіпюр  EL2202,Гіпюр EL2202,двойной пробел
1C,3264,347158,Гіпюр  GX1784,Гіпюр GX1784,двойной пробел
1C,2806,348520,Гіпюр  H502-4,Гіпюр H502-4,двойной пробел
1C,3266,347165,Гіпюр  HM1383,Гіпюр HM1383,двойной пробел
1C,2724,342245,Гіпюр LV0142 ,Гіпюр LV0142,пробел по краям
1C,3525,378671,Гудзики микадо ,Гудзики микадо,пробел по краям
1C,3489,377841,Євросітка ANGEL з перлинками ,Євросітка ANGEL з перлинками,пробел по краям
1C,3490,377865,Євросітка G-TULLE з перлинками ,Євросітка G-TULLE з перлинками,пробел по краям
1C,3491,377896,Євросітка Блиск з перлами 1.5 м ширина ,Євросітка Блиск з перлами 1.5 м ширина,пробел по краям
1C,3683,383798,зірочкі клейові китай ,зірочкі клейові китай,пробел по краям
1C,3670,385198,Камінці в металі ,Камінці в металі,пробел по краям
1C,3665,383330,Креп Heavy Elastic crepe ,Креп Heavy Elastic crepe,пробел по краям
1C,3498,379913,Лента репс ,Лента репс,пробел по краям
1C,3729,385037,Мереживо 311628 ,Мереживо 311628,пробел по краям
1C,3519,378497,Мереживо з  вишивкою HB0001,Мереживо з вишивкою HB0001,двойной пробел
1C,3530,378770,Мереживо з вишивкою Павутина ,Мереживо з вишивкою Павутина,пробел по краям
1C,3845,387659,Мереживо шантильї 8962-3   прозоре по 5,Мереживо шантильї 8962-3 прозоре по 5,двойной пробел
1C,3801,386683,Мереживо шантильї з  кордом YS 8008-1G,Мереживо шантильї з кордом YS 8008-1G,двойной пробел
1C,3515,378411,Мереживо-3D  AC52472.001.01,Мереживо-3D AC52472.001.01,двойной пробел
1C,3657,383156,Мікадо  блиск,Мікадо блиск,двойной пробел
1C,3302,328966,Мікадо 3 м (G00044) ,Мікадо 3 м (G00044),пробел по краям
1C,3572,380865,Мікадо чорний ,Мікадо чорний,пробел по краям
1C,3608,381879,Ножиці  пластик,Ножиці пластик,двойной пробел
1C,3660,383217,Ножниці закрійні професійні ,Ножниці закрійні професійні,пробел по краям
1C,3425,329024,Органза принт G-000989  на каролин,Органза принт G-000989 на каролин,двойной пробел
1C,3640,382760,Петлі для гудзиків якісні ,Петлі для гудзиків якісні,пробел по краям
1C,3273,379265,Петлі на регліні ,Петлі на регліні,пробел по краям
1C,3497,378015,Підкладка стрейчова Super SOFT ,Підкладка стрейчова Super SOFT,пробел по краям
1C,3632,382562,Пір'я гусине на ленті ,Пір'я гусине на ленті,пробел по краям
1C,3832,387406,Полотна з 3D квітами  P4418-C-1,Полотна з 3D квітами P4418-C-1,двойной пробел
1C,2726,342269,Полотно  LV0007BL,Полотно LV0007BL,двойной пробел
1C,3452,365725,Полотно вишите 3D  -  90014S,Полотно вишите 3D - 90014S,двойной пробел
1C,3792,386447,Полотно з  мокрою паєткою YX451,Полотно з мокрою паєткою YX451,двойной пробел
1C,3566,379838,Полотно з паєтками F0201 ,Полотно з паєтками F0201,пробел по краям
1C,844,356099,Пояс  AM12453.007.01_(1),Пояс AM12453.007.01_(1),двойной пробел
1C,3500,378091,Репс ,Репс,пробел по краям
1C,3817,387109,Розшите полотно  Y3606A,Розшите полотно Y3606A,двойной пробел
1C,3635,382630,Сітка  La sposa новa N127P,Сітка La sposa новa N127P,двойной пробел
1C,3636,382654,Сітка Pronovias Нова  XM-1006N,Сітка Pronovias Нова XM-1006N,двойной пробел
1C,3804,386737,Стрічка силіконова 1 см  рулон,Стрічка силіконова 1 см рулон,двойной пробел
1C,3574,380902,Тканинa ELENA Elly TAFTA ,Тканинa ELENA Elly TAFTA,пробел по краям
1C,3291,DESEN 104,ТКАНЬ ГЛИТТЕР ,ТКАНЬ ГЛИТТЕР,пробел по краям
1C,1618,374086,Шантильї RJ11110..002.11,Шантильї RJ11110.002.11,двойная точка
1C,3744,385471,Шантильї без  бісеру RS31065.105.02,Шантильї без бісеру RS31065.105.02,двойной пробел
1C,3727,384986,Шантильї з бісером U5B5639-  Q4173L-C,Шантильї з бісером U5B5639- Q4173L-C,двойной пробел
1C,3827,387291,Шантильї з кордом  L0188AN,Шантильї з кордом L0188AN,двойной пробел
1C,3711,384603,Шантильї з кордом 410073 ,Шантильї з кордом 410073,пробел по краям
1C,3594,381466,Шифон Jan Jan ,Шифон Jan Jan,пробел по краям
